,0,Jun 2022,          11.3%        ,10.0%,Unnamed: 4
8101,118.0,Sep 2012,          2.1%        ,,
8102,119.0,Aug 2012,          2.0%        ,,
8103,120.0,Jul 2012,          0.5%        ,,
8104,121.0,Jun 2012,          0.7%        ,,
8105,122.0,May 2012,          0.7%        ,,
8106,123.0,Apr 2012,          1.9%        ,,
8107,124.0,Mar 2012,          2.8%        ,,
8108,125.0,Feb 2012,          3.3%        ,,
8109,126.0,Jan 2012,          4.1%        ,,
8110,127.0,Dec 2011,          4.8%        ,,
8111,128.0,Nov 2011,          5.7%        ,,
8112,129.0,Oct 2011,          5.9%        ,,
8113,130.0,Sep 2011,          6.9%        ,,
8114,131.0,Aug 2011,          6.5%        ,,
8115,132.0,Jul 2011,          7.2%        ,,
8116,133.0,Jun 2011,          7.0%        ,,
8117,134.0,May 2011,          7.3%        ,,
8118,135.0,Apr 2011,          6.8%        ,,
8119,136.0,Mar 2011,          5.8%        ,,
8120,137.0,Feb 2011,          5.6%        ,,
8121,138.0,Jan 2011,          3.6%        ,,
8122,139.0,Dec 2010,          4.0%        ,,
8123,140.0,Nov 2010,          3.5%        ,,
8124,141.0,Oct 2010,          4.3%        ,,
8125,142.0,Sep 2010,          4.0%        ,,
8126,143.0,Aug 2010,          3.1%        ,,
8127,144.0,Jul 2010,          4.2%        ,,
8128,145.0,Jun 2010,          2.8%        ,,
8129,146.0,May 2010,          5.3%        ,,
8130,147.0,Apr 2010,          5.5%        ,,
8131,148.0,Mar 2010,          6.0%        ,,
8132,149.0,Feb 2010,          4.4%        ,,
8133,150.0,Jan 2010,          4.6%        ,,
8134,151.0,Dec 2009,          4.4%        ,,
8135,152.0,Nov 2009,          2.4%        ,,
8136,153.0,Oct 2009,          -1.9%        ,,
8137,154.0,Sep 2009,          -4.8%        ,,
8138,155.0,Aug 2009,          -4.3%        ,,
8139,156.0,Jul 2009,          -6.8%        ,,
8140,157.0,Jun 2009,          -4.6%        ,,
8141,158.0,May 2009,          -5.0%        ,,
8142,159.0,Apr 2009,          -3.7%        ,,
8143,160.0,Mar 2009,          -3.5%        ,,
8144,161.0,Feb 2009,          -1.3%        ,,
8145,162.0,Jan 2009,          1.0%        ,,
8146,163.0,Dec 2008,          -0.9%        ,,
8147,164.0,Nov 2008,          0.4%        ,,
8148,165.0,Oct 2008,          5.2%        ,,
8149,166.0,Sep 2008,          8.7%        ,,
8150,167.0,Aug 2008,          9.6%        ,,
8151,168.0,Jul 2008,          9.8%        ,,
8152,169.0,Jun 2008,          9.2%        ,,
8153,170.0,May 2008,          7.2%        ,,
8154,171.0,Apr 2008,          6.5%        ,,
8155,172.0,Mar 2008,          6.9%        ,,
8156,173.0,Feb 2008,          6.4%        ,,
8157,174.0,Jan 2008,          7.4%        ,,
8158,175.0,Dec 2007,          6.3%        ,,
8159,176.0,Nov 2007,          7.2%        ,,
8160,177.0,Oct 2007,          6.1%        ,,
8161,178.0,Sep 2007,          4.4%        ,,
8162,179.0,Aug 2007,          2.2%        ,,
8163,180.0,Jul 2007,          4.0%        ,,
8164,181.0,Jun 2007,          3.3%        ,,
8165,182.0,May 2007,          4.1%        ,,
8166,183.0,Apr 2007,          3.2%        ,,
8167,184.0,Feb 2007,          3.2%        ,,
8168,185.0,Jan 2007,          0.2%        ,,
8169,,Date,Actual,Forecast,Previous
8170,0.0,Jul 2022,          9.8%        ,11.0%,
8171,1.0,Jun 2022,          11.3%        ,10.0%,
8172,2.0,May 2022,          10.8%        ,11.1%,
8173,3.0,Apr 2022,          11.0%        ,12.2%,
8174,4.0,Mar 2022,          11.2%        ,9.4%,
8175,5.0,Feb 2022,          10.0%        ,9.1%,
8176,6.0,Jan 2022,          9.7%        ,10.1%,
8177,7.0,Dec 2021,          9.7%        ,10.1%,
8178,8.0,Nov 2021,          9.6%        ,8.3%,
8179,9.0,Oct 2021,          8.6%        ,8.6%,
8180,10.0,Sep 2021,          8.6%        ,8.7%,
8181,11.0,Aug 2021,          8.3%        ,7.8%,
8182,12.0,Jul 2021,          7.8%        ,7.3%,
8183,13.0,Jun 2021,          7.3%        ,7.1%,
8184,14.0,May 2021,          6.6%        ,7.2%,
8185,15.0,Apr 2021,          6.2%        ,4.9%,
8186,16.0,Mar 2021,          4.2%        ,3.7%,
8187,17.0,Feb 2021,          2.8%        ,2.4%,
8188,18.0,Jan 2021,          1.7%        ,0.7%,
8189,19.0,Dec 2020,          0.8%        ,0.4%,
8190,20.0,Nov 2020,          0.8%        ,1.0%,
8191,21.0,Oct 2020,          0.5%        ,1.0%,
8192,22.0,Sep 2020,          0.4%        ,-0.1%,
8193,23.0,Aug 2020,          -0.2%        ,-0.3%,
8194,24.0,Jul 2020,          -0.4%        ,-0.3%,
8195,25.0,Jun 2020,          -0.8%        ,-1.0%,
8196,26.0,May 2020,          -0.8%        ,-0.3%,
8197,27.0,Apr 2020,          -1.2%        ,1.0%,
8198,28.0,Mar 2020,          0.7%        ,1.0%,
8199,29.0,Feb 2020,          1.3%        ,2.4%,
8200,30.0,Jan 2020,          2.1%        ,1.6%,
8201,31.0,Dec 2019,          1.3%        ,1.0%,
8202,32.0,Nov 2019,          1.1%        ,0.4%,
8203,33.0,Oct 2019,          1.1%        ,0.9%,
8204,34.0,Sep 2019,          1.4%        ,2.2%,
8205,35.0,Aug 2019,          1.8%        ,2.1%,
8206,36.0,Jul 2019,          1.7%        ,1.2%,
8207,37.0,Jun 2019,          1.7%        ,1.4%,
8208,38.0,May 2019,          1.8%        ,2.2%,
8209,39.0,Apr 2019,          2.2%        ,2.4%,
8210,40.0,Mar 2019,          2.2%        ,1.6%,
8211,41.0,Feb 2019,          1.9%        ,1.4%,
8212,42.0,Jan 2019,          2.0%        ,2.0%,
8213,43.0,Dec 2018,          2.5%        ,2.8%,
8214,44.0,Nov 2018,          2.5%        ,2.6%,
8215,45.0,Oct 2018,          2.9%        ,1.9%,
8216,46.0,Sep 2018,          2.6%        ,2.5%,
8217,47.0,Aug 2018,          2.8%        ,3.4%,
8218,48.0,Jul 2018,          3.3%        ,3.2%,
8219,49.0,Jun 2018,          3.4%        ,2.7%,
8220,50.0,May 2018,          3.1%        ,2.7%,
8221,51.0,Apr 2018,          2.6%        ,3.1%,
8222,52.0,Mar 2018,          3.0%        ,2.7%,
8223,53.0,Feb 2018,          2.8%        ,2.3%,
8224,54.0,Jan 2018,          2.7%        ,2.2%,
8225,55.0,Dec 2017,          2.6%        ,2.8%,
8226,56.0,Nov 2017,          3.1%        ,3.0%,
8227,57.0,Oct 2017,          2.8%        ,2.9%,
8228,58.0,Sep 2017,          2.6%        ,2.6%,
8229,59.0,Aug 2017,          2.4%        ,1.8%,
8230,60.0,Jul 2017,          1.9%        ,1.7%,
8231,61.0,Jun 2017,          2.0%        ,2.1%,
8232,62.0,May 2017,          2.4%        ,2.6%,
8233,63.0,Apr 2017,          2.5%        ,2.5%,
8234,64.0,Mar 2017,          2.3%        ,,
8235,65.0,Feb 2017,          2.2%        ,,
8236,66.0,Jan 2017,          1.6%        ,,
8237,67.0,Dec 2016,          1.6%        ,,
8238,68.0,Nov 2016,          1.3%        ,,
8239,69.0,Oct 2016,          0.8%        ,,
8240,70.0,Sep 2016,          0.7%        ,,
8241,71.0,Aug 2016,          0.0%        ,,
8242,72.0,Jul 2016,          -0.2%        ,,
8243,73.0,Jun 2016,          0.3%        ,,
8244,74.0,May 2016,          -0.1%        ,,
8245,75.0,Apr 2016,          0.0%        ,,
8246,76.0,Mar 2016,          -0.1%        ,,
8247,77.0,Feb 2016,          0.0%        ,,
8248,78.0,Jan 2016,          -0.2%        ,,
8249,79.0,Dec 2015,          -1.0%        ,,
8250,80.0,Nov 2015,          -1.1%        ,,
8251,81.0,Oct 2015,          -1.6%        ,,
8252,82.0,Sep 2015,          -1.1%        ,,
8253,83.0,Aug 2015,          -0.8%        ,,
8254,84.0,Jul 2015,          -0.8%        ,,
8255,85.0,Jun 2015,          -0.7%        ,,
8256,86.0,May 2015,          -1.1%        ,,
8257,87.0,Apr 2015,          -1.3%        ,,
8258,88.0,Mar 2015,          -0.8%        ,,
8259,89.0,Feb 2015,          -0.6%        ,,
8260,90.0,Jan 2015,          0.0%        ,,
8261,91.0,Dec 2014,          1.1%        ,,
8262,92.0,Nov 2014,          1.4%        ,,
8263,93.0,Oct 2014,          1.5%        ,,
8264,94.0,Sep 2014,          1.6%        ,,
8265,95.0,Aug 2014,          1.8%        ,,
8266,96.0,Jul 2014,          1.7%        ,,
8267,97.0,Jun 2014,          1.9%        ,,
8268,98.0,May 2014,          2.0%        ,,
8269,99.0,Apr 2014,          2.1%        ,,
8270,100.0,Mar 2014,          1.4%        ,,
8271,101.0,Feb 2014,          0.9%        ,,
8272,102.0,Jan 2014,          1.2%        ,,
8273,103.0,Dec 2013,          1.2%        ,,
8274,104.0,Nov 2013,          0.7%        ,,
8275,105.0,Oct 2013,          0.3%        ,,
8276,106.0,Sep 2013,          0.3%        ,,
8277,107.0,Aug 2013,          1.4%        ,,
8278,108.0,Jul 2013,          2.1%        ,,
8279,109.0,Jun 2013,          2.5%        ,,
8280,110.0,May 2013,          1.7%        ,,
8281,111.0,Apr 2013,          0.6%        ,,
8282,112.0,Mar 2013,          1.1%        ,,
8283,113.0,Feb 2013,          1.7%        ,,
8284,114.0,Jan 2013,          1.4%        ,,
8285,115.0,Dec 2012,          1.3%        ,,
8286,116.0,Nov 2012,          1.5%        ,,
8287,117.0,Oct 2012,          2.3%        ,,
8288,118.0,Sep 2012,          2.1%        ,,
8289,119.0,Aug 2012,          2.0%        ,,
8290,120.0,Jul 2012,          0.5%        ,,
8291,121.0,Jun 2012,          0.7%        ,,
8292,122.0,May 2012,          0.7%        ,,
8293,123.0,Apr 2012,          1.9%        ,,
8294,124.0,Mar 2012,          2.8%        ,,
8295,125.0,Feb 2012,          3.3%        ,,
8296,126.0,Jan 2012,          4.1%        ,,
8297,127.0,Dec 2011,          4.8%        ,,
8298,128.0,Nov 2011,          5.7%        ,,
8299,129.0,Oct 2011,          5.9%        ,,
8300,130.0,Sep 2011,          6.9%        ,,
8301,131.0,Aug 2011,          6.5%        ,,
8302,132.0,Jul 2011,          7.2%        ,,
8303,133.0,Jun 2011,          7.0%        ,,
8304,134.0,May 2011,          7.3%        ,,
8305,135.0,Apr 2011,          6.8%        ,,
8306,136.0,Mar 2011,          5.8%        ,,
8307,137.0,Feb 2011,          5.6%        ,,
8308,138.0,Jan 2011,          3.6%        ,,
8309,139.0,Dec 2010,          4.0%        ,,
8310,140.0,Nov 2010,          3.5%        ,,
8311,141.0,Oct 2010,          4.3%        ,,
8312,142.0,Sep 2010,          4.0%        ,,
8313,143.0,Aug 2010,          3.1%        ,,
8314,144.0,Jul 2010,          4.2%        ,,
8315,145.0,Jun 2010,          2.8%        ,,
8316,146.0,May 2010,          5.3%        ,,
8317,147.0,Apr 2010,          5.5%        ,,
8318,148.0,Mar 2010,          6.0%        ,,
8319,149.0,Feb 2010,          4.4%        ,,
8320,150.0,Jan 2010,          4.6%        ,,
8321,151.0,Dec 2009,          4.4%        ,,
8322,152.0,Nov 2009,          2.4%        ,,
8323,153.0,Oct 2009,          -1.9%        ,,
8324,154.0,Sep 2009,          -4.8%        ,,
8325,155.0,Aug 2009,          -4.3%        ,,
8326,156.0,Jul 2009,          -6.8%        ,,
8327,157.0,Jun 2009,          -4.6%        ,,
8328,158.0,May 2009,          -5.0%        ,,
8329,159.0,Apr 2009,          -3.7%        ,,
8330,160.0,Mar 2009,          -3.5%        ,,
8331,161.0,Feb 2009,          -1.3%        ,,
8332,162.0,Jan 2009,          1.0%        ,,
8333,163.0,Dec 2008,          -0.9%        ,,
8334,164.0,Nov 2008,          0.4%        ,,
8335,165.0,Oct 2008,          5.2%        ,,
8336,166.0,Sep 2008,          8.7%        ,,
8337,167.0,Aug 2008,          9.6%        ,,
8338,168.0,Jul 2008,          9.8%        ,,
8339,169.0,Jun 2008,          9.2%        ,,
8340,170.0,May 2008,          7.2%        ,,
8341,171.0,Apr 2008,          6.5%        ,,
8342,172.0,Mar 2008,          6.9%        ,,
8343,173.0,Feb 2008,          6.4%        ,,
8344,174.0,Jan 2008,          7.4%        ,,
8345,175.0,Dec 2007,          6.3%        ,,
8346,176.0,Nov 2007,          7.2%        ,,
8347,177.0,Oct 2007,          6.1%        ,,
8348,178.0,Sep 2007,          4.4%        ,,
8349,179.0,Aug 2007,          2.2%        ,,
8350,180.0,Jul 2007,          4.0%        ,,
8351,181.0,Jun 2007,          3.3%        ,,
8352,182.0,May 2007,          4.1%        ,,
8353,183.0,Apr 2007,          3.2%        ,,
8354,184.0,Feb 2007,          3.2%        ,,
8355,185.0,Jan 2007,          0.2%        ,,
8356,,Date,Actual,Forecast,Previous
8357,0.0,Jul 2022,          9.8%        ,11.0%,
8358,1.0,Jun 2022,          11.3%        ,10.0%,
8359,2.0,May 2022,          10.8%        ,11.1%,
8360,3.0,Apr 2022,          11.0%        ,12.2%,
8361,4.0,Mar 2022,          11.2%        ,9.4%,
8362,5.0,Feb 2022,          10.0%        ,9.1%,
8363,6.0,Jan 2022,          9.7%        ,10.1%,
8364,7.0,Dec 2021,          9.7%        ,10.1%,
8365,8.0,Nov 2021,          9.6%        ,8.3%,
8366,9.0,Oct 2021,          8.6%        ,8.6%,
8367,10.0,Sep 2021,          8.6%        ,8.7%,
8368,11.0,Aug 2021,          8.3%        ,7.8%,
8369,12.0,Jul 2021,          7.8%        ,7.3%,
8370,13.0,Jun 2021,          7.3%        ,7.1%,
8371,14.0,May 2021,          6.6%        ,7.2%,
8372,15.0,Apr 2021,          6.2%        ,4.9%,
8373,16.0,Mar 2021,          4.2%        ,3.7%,
8374,17.0,Feb 2021,          2.8%        ,2.4%,
8375,18.0,Jan 2021,          1.7%        ,0.7%,
8376,19.0,Dec 2020,          0.8%        ,0.4%,
8377,20.0,Nov 2020,          0.8%        ,1.0%,
8378,21.0,Oct 2020,          0.5%        ,1.0%,
8379,22.0,Sep 2020,          0.4%        ,-0.1%,
8380,23.0,Aug 2020,          -0.2%        ,-0.3%,
8381,24.0,Jul 2020,          -0.4%        ,-0.3%,
8382,25.0,Jun 2020,          -0.8%        ,-1.0%,
8383,26.0,May 2020,          -0.8%        ,-0.3%,
8384,27.0,Apr 2020,          -1.2%        ,1.0%,
8385,28.0,Mar 2020,          0.7%        ,1.0%,
8386,29.0,Feb 2020,          1.3%        ,2.4%,
8387,30.0,Jan 2020,          2.1%        ,1.6%,
8388,31.0,Dec 2019,          1.3%        ,1.0%,
8389,32.0,Nov 2019,          1.1%        ,0.4%,
8390,33.0,Oct 2019,          1.1%        ,0.9%,
8391,34.0,Sep 2019,          1.4%        ,2.2%,
8392,35.0,Aug 2019,          1.8%        ,2.1%,
8393,36.0,Jul 2019,          1.7%        ,1.2%,
8394,37.0,Jun 2019,          1.7%        ,1.4%,
8395,38.0,May 2019,          1.8%        ,2.2%,
8396,39.0,Apr 2019,          2.2%        ,2.4%,
8397,40.0,Mar 2019,          2.2%        ,1.6%,
8398,41.0,Feb 2019,          1.9%        ,1.4%,
8399,42.0,Jan 2019,          2.0%        ,2.0%,
8400,43.0,Dec 2018,          2.5%        ,2.8%,
8401,44.0,Nov 2018,          2.5%        ,2.6%,
8402,45.0,Oct 2018,          2.9%        ,1.9%,
8403,46.0,Sep 2018,          2.6%        ,2.5%,
8404,47.0,Aug 2018,          2.8%        ,3.4%,
8405,48.0,Jul 2018,          3.3%        ,3.2%,
8406,49.0,Jun 2018,          3.4%        ,2.7%,
8407,50.0,May 2018,          3.1%        ,2.7%,
8408,51.0,Apr 2018,          2.6%        ,3.1%,
8409,52.0,Mar 2018,          3.0%        ,2.7%,
8410,53.0,Feb 2018,          2.8%        ,2.3%,
8411,54.0,Jan 2018,          2.7%        ,2.2%,
8412,55.0,Dec 2017,          2.6%        ,2.8%,
8413,56.0,Nov 2017,          3.1%        ,3.0%,
8414,57.0,Oct 2017,          2.8%        ,2.9%,
8415,58.0,Sep 2017,          2.6%        ,2.6%,
8416,59.0,Aug 2017,          2.4%        ,1.8%,
8417,60.0,Jul 2017,          1.9%        ,1.7%,
8418,61.0,Jun 2017,          2.0%        ,2.1%,
8419,62.0,May 2017,          2.4%        ,2.6%,
8420,63.0,Apr 2017,          2.5%        ,2.5%,
8421,64.0,Mar 2017,          2.3%        ,,
8422,65.0,Feb 2017,          2.2%        ,,
8423,66.0,Jan 2017,          1.6%        ,,
8424,67.0,Dec 2016,          1.6%        ,,
8425,68.0,Nov 2016,          1.3%        ,,
8426,69.0,Oct 2016,          0.8%        ,,
8427,70.0,Sep 2016,          0.7%        ,,
8428,71.0,Aug 2016,          0.0%        ,,
8429,72.0,Jul 2016,          -0.2%        ,,
8430,73.0,Jun 2016,          0.3%        ,,
8431,74.0,May 2016,          -0.1%        ,,
8432,75.0,Apr 2016,          0.0%        ,,
8433,76.0,Mar 2016,          -0.1%        ,,
8434,77.0,Feb 2016,          0.0%        ,,
8435,78.0,Jan 2016,          -0.2%        ,,
8436,79.0,Dec 2015,          -1.0%        ,,
8437,80.0,Nov 2015,          -1.1%        ,,
8438,81.0,Oct 2015,          -1.6%        ,,
8439,82.0,Sep 2015,          -1.1%        ,,
8440,83.0,Aug 2015,          -0.8%        ,,
8441,84.0,Jul 2015,          -0.8%        ,,
8442,85.0,Jun 2015,          -0.7%        ,,
8443,86.0,May 2015,          -1.1%        ,,
8444,87.0,Apr 2015,          -1.3%        ,,
8445,88.0,Mar 2015,          -0.8%        ,,
8446,89.0,Feb 2015,          -0.6%        ,,
8447,90.0,Jan 2015,          0.0%        ,,
8448,91.0,Dec 2014,          1.1%        ,,
8449,92.0,Nov 2014,          1.4%        ,,
8450,93.0,Oct 2014,          1.5%        ,,
8451,94.0,Sep 2014,          1.6%        ,,
8452,95.0,Aug 2014,          1.8%        ,,
8453,96.0,Jul 2014,          1.7%        ,,
8454,97.0,Jun 2014,          1.9%        ,,
8455,98.0,May 2014,          2.0%        ,,
8456,99.0,Apr 2014,          2.1%        ,,
8457,100.0,Mar 2014,          1.4%        ,,
8458,101.0,Feb 2014,          0.9%        ,,
8459,102.0,Jan 2014,          1.2%        ,,
8460,103.0,Dec 2013,          1.2%        ,,
8461,104.0,Nov 2013,          0.7%        ,,
8462,105.0,Oct 2013,          0.3%        ,,
8463,106.0,Sep 2013,          0.3%        ,,
8464,107.0,Aug 2013,          1.4%        ,,
8465,108.0,Jul 2013,          2.1%        ,,
8466,109.0,Jun 2013,          2.5%        ,,
8467,110.0,May 2013,          1.7%        ,,
8468,111.0,Apr 2013,          0.6%        ,,
8469,112.0,Mar 2013,          1.1%        ,,
8470,113.0,Feb 2013,          1.7%        ,,
8471,114.0,Jan 2013,          1.4%        ,,
8472,115.0,Dec 2012,          1.3%        ,,
8473,116.0,Nov 2012,          1.5%        ,,
8474,117.0,Oct 2012,          2.3%        ,,
8475,118.0,Sep 2012,          2.1%        ,,
8476,119.0,Aug 2012,          2.0%        ,,
8477,120.0,Jul 2012,          0.5%        ,,
8478,121.0,Jun 2012,          0.7%        ,,
8479,122.0,May 2012,          0.7%        ,,
8480,123.0,Apr 2012,          1.9%        ,,
8481,124.0,Mar 2012,          2.8%        ,,
8482,125.0,Feb 2012,          3.3%        ,,
8483,126.0,Jan 2012,          4.1%        ,,
8484,127.0,Dec 2011,          4.8%        ,,
8485,128.0,Nov 2011,          5.7%        ,,
8486,129.0,Oct 2011,          5.9%        ,,
8487,130.0,Sep 2011,          6.9%        ,,
8488,131.0,Aug 2011,          6.5%        ,,
8489,132.0,Jul 2011,          7.2%        ,,
8490,133.0,Jun 2011,          7.0%        ,,
8491,134.0,May 2011,          7.3%        ,,
8492,135.0,Apr 2011,          6.8%        ,,
8493,136.0,Mar 2011,          5.8%        ,,
8494,137.0,Feb 2011,          5.6%        ,,
8495,138.0,Jan 2011,          3.6%        ,,
8496,139.0,Dec 2010,          4.0%        ,,
8497,140.0,Nov 2010,          3.5%        ,,
8498,141.0,Oct 2010,          4.3%        ,,
8499,142.0,Sep 2010,          4.0%        ,,
8500,143.0,Aug 2010,          3.1%        ,,
8501,144.0,Jul 2010,          4.2%        ,,
8502,145.0,Jun 2010,          2.8%        ,,
8503,146.0,May 2010,          5.3%        ,,
8504,147.0,Apr 2010,          5.5%        ,,
8505,148.0,Mar 2010,          6.0%        ,,
8506,149.0,Feb 2010,          4.4%        ,,
8507,150.0,Jan 2010,          4.6%        ,,
8508,151.0,Dec 2009,          4.4%        ,,
8509,152.0,Nov 2009,          2.4%        ,,
8510,153.0,Oct 2009,          -1.9%        ,,
8511,154.0,Sep 2009,          -4.8%        ,,
8512,155.0,Aug 2009,          -4.3%        ,,
8513,156.0,Jul 2009,          -6.8%        ,,
8514,157.0,Jun 2009,          -4.6%        ,,
8515,158.0,May 2009,          -5.0%        ,,
8516,159.0,Apr 2009,          -3.7%        ,,
8517,160.0,Mar 2009,          -3.5%        ,,
8518,161.0,Feb 2009,          -1.3%        ,,
8519,162.0,Jan 2009,          1.0%        ,,
8520,163.0,Dec 2008,          -0.9%        ,,
8521,164.0,Nov 2008,          0.4%        ,,
8522,165.0,Oct 2008,          5.2%        ,,
8523,166.0,Sep 2008,          8.7%        ,,
8524,167.0,Aug 2008,          9.6%        ,,
8525,168.0,Jul 2008,          9.8%        ,,
8526,169.0,Jun 2008,          9.2%        ,,
8527,170.0,May 2008,          7.2%        ,,
8528,171.0,Apr 2008,          6.5%        ,,
8529,172.0,Mar 2008,          6.9%        ,,
8530,173.0,Feb 2008,          6.4%        ,,
8531,174.0,Jan 2008,          7.4%        ,,
8532,175.0,Dec 2007,          6.3%        ,,
8533,176.0,Nov 2007,          7.2%        ,,
8534,177.0,Oct 2007,          6.1%        ,,
8535,178.0,Sep 2007,          4.4%        ,,
8536,179.0,Aug 2007,          2.2%        ,,
8537,180.0,Jul 2007,          4.0%        ,,
8538,181.0,Jun 2007,          3.3%        ,,
8539,182.0,May 2007,          4.1%        ,,
8540,183.0,Apr 2007,          3.2%        ,,
8541,184.0,Feb 2007,          3.2%        ,,
8542,185.0,Jan 2007,          0.2%        ,,
8543,,Date,Actual,Forecast,Previous
8544,0.0,Jul 2022,          9.8%        ,11.0%,
8545,1.0,Jun 2022,          11.3%        ,10.0%,
8546,2.0,May 2022,          10.8%        ,11.1%,
8547,3.0,Apr 2022,          11.0%        ,12.2%,
8548,4.0,Mar 2022,          11.2%        ,9.4%,
8549,5.0,Feb 2022,          10.0%        ,9.1%,
8550,6.0,Jan 2022,          9.7%        ,10.1%,
8551,7.0,Dec 2021,          9.7%        ,10.1%,
8552,8.0,Nov 2021,          9.6%        ,8.3%,
8553,9.0,Oct 2021,          8.6%        ,8.6%,
8554,10.0,Sep 2021,          8.6%        ,8.7%,
8555,11.0,Aug 2021,          8.3%        ,7.8%,
8556,12.0,Jul 2021,          7.8%        ,7.3%,
8557,13.0,Jun 2021,          7.3%        ,7.1%,
8558,14.0,May 2021,          6.6%        ,7.2%,
8559,15.0,Apr 2021,          6.2%        ,4.9%,
8560,16.0,Mar 2021,          4.2%        ,3.7%,
8561,17.0,Feb 2021,          2.8%        ,2.4%,
8562,18.0,Jan 2021,          1.7%        ,0.7%,
8563,19.0,Dec 2020,          0.8%        ,0.4%,
8564,20.0,Nov 2020,          0.8%        ,1.0%,
8565,21.0,Oct 2020,          0.5%        ,1.0%,
8566,22.0,Sep 2020,          0.4%        ,-0.1%,
8567,23.0,Aug 2020,          -0.2%        ,-0.3%,
8568,24.0,Jul 2020,          -0.4%        ,-0.3%,
8569,25.0,Jun 2020,          -0.8%        ,-1.0%,
8570,26.0,May 2020,          -0.8%        ,-0.3%,
8571,27.0,Apr 2020,          -1.2%        ,1.0%,
8572,28.0,Mar 2020,          0.7%        ,1.0%,
8573,29.0,Feb 2020,          1.3%        ,2.4%,
8574,30.0,Jan 2020,          2.1%        ,1.6%,
8575,31.0,Dec 2019,          1.3%        ,1.0%,
8576,32.0,Nov 2019,          1.1%        ,0.4%,
8577,33.0,Oct 2019,          1.1%        ,0.9%,
8578,34.0,Sep 2019,          1.4%        ,2.2%,
8579,35.0,Aug 2019,          1.8%        ,2.1%,
8580,36.0,Jul 2019,          1.7%        ,1.2%,
8581,37.0,Jun 2019,          1.7%        ,1.4%,
8582,38.0,May 2019,          1.8%        ,2.2%,
8583,39.0,Apr 2019,          2.2%        ,2.4%,
8584,40.0,Mar 2019,          2.2%        ,1.6%,
8585,41.0,Feb 2019,          1.9%        ,1.4%,
8586,42.0,Jan 2019,          2.0%        ,2.0%,
8587,43.0,Dec 2018,          2.5%        ,2.8%,
8588,44.0,Nov 2018,          2.5%        ,2.6%,
8589,45.0,Oct 2018,          2.9%        ,1.9%,
8590,46.0,Sep 2018,          2.6%        ,2.5%,
8591,47.0,Aug 2018,          2.8%        ,3.4%,
8592,48.0,Jul 2018,          3.3%        ,3.2%,
8593,49.0,Jun 2018,          3.4%        ,2.7%,
8594,50.0,May 2018,          3.1%        ,2.7%,
8595,51.0,Apr 2018,          2.6%        ,3.1%,
8596,52.0,Mar 2018,          3.0%        ,2.7%,
8597,53.0,Feb 2018,          2.8%        ,2.3%,
8598,54.0,Jan 2018,          2.7%        ,2.2%,
8599,55.0,Dec 2017,          2.6%        ,2.8%,
8600,56.0,Nov 2017,          3.1%        ,3.0%,
8601,57.0,Oct 2017,          2.8%        ,2.9%,
8602,58.0,Sep 2017,          2.6%        ,2.6%,
8603,59.0,Aug 2017,          2.4%        ,1.8%,
8604,60.0,Jul 2017,          1.9%        ,1.7%,
8605,61.0,Jun 2017,          2.0%        ,2.1%,
8606,62.0,May 2017,          2.4%        ,2.6%,
8607,63.0,Apr 2017,          2.5%        ,2.5%,
8608,64.0,Mar 2017,          2.3%        ,,
8609,65.0,Feb 2017,          2.2%        ,,
8610,66.0,Jan 2017,          1.6%        ,,
8611,67.0,Dec 2016,          1.6%        ,,
8612,68.0,Nov 2016,          1.3%        ,,
8613,69.0,Oct 2016,          0.8%        ,,
8614,70.0,Sep 2016,          0.7%        ,,
8615,71.0,Aug 2016,          0.0%        ,,
8616,72.0,Jul 2016,          -0.2%        ,,
8617,73.0,Jun 2016,          0.3%        ,,
8618,74.0,May 2016,          -0.1%        ,,
8619,75.0,Apr 2016,          0.0%        ,,
8620,76.0,Mar 2016,          -0.1%        ,,
8621,77.0,Feb 2016,          0.0%        ,,
8622,78.0,Jan 2016,          -0.2%        ,,
8623,79.0,Dec 2015,          -1.0%        ,,
8624,80.0,Nov 2015,          -1.1%        ,,
8625,81.0,Oct 2015,          -1.6%        ,,
8626,82.0,Sep 2015,          -1.1%        ,,
8627,83.0,Aug 2015,          -0.8%        ,,
8628,84.0,Jul 2015,          -0.8%        ,,
8629,85.0,Jun 2015,          -0.7%        ,,
8630,86.0,May 2015,          -1.1%        ,,
8631,87.0,Apr 2015,          -1.3%        ,,
8632,88.0,Mar 2015,          -0.8%        ,,
8633,89.0,Feb 2015,          -0.6%        ,,
8634,90.0,Jan 2015,          0.0%        ,,
8635,91.0,Dec 2014,          1.1%        ,,
8636,92.0,Nov 2014,          1.4%        ,,
8637,93.0,Oct 2014,          1.5%        ,,
8638,94.0,Sep 2014,          1.6%        ,,
8639,95.0,Aug 2014,          1.8%        ,,
8640,96.0,Jul 2014,          1.7%        ,,
8641,97.0,Jun 2014,          1.9%        ,,
8642,98.0,May 2014,          2.0%        ,,
8643,99.0,Apr 2014,          2.1%        ,,
8644,100.0,Mar 2014,          1.4%        ,,
8645,101.0,Feb 2014,          0.9%        ,,
8646,102.0,Jan 2014,          1.2%        ,,
8647,103.0,Dec 2013,          1.2%        ,,
8648,104.0,Nov 2013,          0.7%        ,,
8649,105.0,Oct 2013,          0.3%        ,,
8650,106.0,Sep 2013,          0.3%        ,,
